simulation,period,total_sn,total_cost,layer_materials,layer_thicknesses,layer_sns,startover
18,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
18,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
19,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
19,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
20,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
20,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
21,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
21,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
22,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
22,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
23,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
23,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
24,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
24,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
25,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
25,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
26,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
26,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
27,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
27,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
28,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
28,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
29,141,3.87,53.540625000000006,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[3.0, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
29,311,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
30,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
30,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
31,141,3.87,53.540625000000006,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[3.0, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
31,313,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
